Date_dt,lat_mean,loss_mean,nsi_mean,speed_mean,err_mean,defect_mean,pct_low
2025-01-01,25.6579,2.467,50.1689,273.835,7.5288,5.0156,77.1528
2025-01-02,25.8563,2.5317,49.3192,277.936,7.5514,5.1196,78.1944
2025-01-03,25.9154,2.4824,49.752,276.0595,7.422,5.0472,76.5278
2025-01-04,25.6491,2.4171,50.6769,270.6388,7.5076,4.9789,78.75
2025-01-05,26.4638,2.4479,49.5378,282.1029,7.3658,5.0396,76.7361
2025-01-06,25.1251,2.4737,50.6454,268.9285,7.4793,4.9388,77.8472
2025-01-07,25.5027,2.4997,50.0003,271.6764,7.4462,4.9606,78.1944
2025-01-08,25.5709,2.5327,49.6005,274.9004,7.6712,5.0762,80.1389
2025-01-09,25.6025,2.5155,49.7408,273.5071,7.457,5.1518,78.6111
2025-01-10,25.9593,2.4894,49.6369,276.776,7.5968,4.9986,78.3333
2025-01-11,25.5752,2.5065,49.8581,281.0736,7.4947,5.039,77.9167
2025-01-12,25.4564,2.502,50.0242,278.8094,7.4225,5.0639,78.8194
2025-01-13,25.5861,2.4351,50.5612,273.8662,7.4359,4.8247,77.0833
2025-01-14,25.3997,2.462,50.4824,274.5443,7.4878,5.0859,78.3333
2025-01-15,25.4352,2.4909,50.1573,272.633,7.4884,5.0469,78.6111
2025-01-16,24.9451,2.5186,50.3802,278.6399,7.6542,5.1239,79.375
2025-01-17,25.4227,2.4745,50.3339,273.9864,7.751,5.0951,77.7083
2025-01-18,25.6932,2.4754,50.0492,282.4177,7.5546,5.0193,77.9167
2025-01-19,25.8478,2.5105,49.5399,267.9687,7.4508,5.0061,76.7361
2025-01-20,25.7887,2.4885,49.8202,275.789,7.4807,5.1508,77.2222
2025-01-21,25.1319,2.498,50.3954,274.0057,7.523,5.0798,79.5833
2025-01-22,25.8282,2.5025,49.6405,275.0362,7.6255,5.0129,78.125
2025-01-23,25.6432,2.5015,49.839,275.3774,7.5565,4.856,79.0278
2025-01-24,25.6216,2.5261,49.6146,271.3396,7.7052,4.947,79.7222
2025-01-25,25.6188,2.4758,50.1206,274.7799,7.5198,5.0217,77.7778
2025-01-26,25.6626,2.4706,50.1279,275.0071,7.6611,5.1574,77.9167
2025-01-27,24.8496,2.4793,50.8708,281.1819,7.425,5.1069,77.0833
2025-01-28,25.7093,2.4809,49.977,275.6528,7.3071,5.048,76.25
2025-01-29,25.3255,2.4959,50.2186,278.8784,7.6333,5.0017,77.7778
2025-01-30,24.9555,2.5182,50.3735,272.1721,7.5155,5.1612,78.8194
2025-01-31,25.4737,2.4385,50.6419,278.7546,7.5143,4.7824,77.5
2025-02-01,25.7582,2.4741,49.9959,277.2936,7.5145,5.0584,77.5
2025-02-02,24.6949,2.5103,50.7181,278.2802,7.4354,4.996,76.9444
2025-02-03,25.3337,2.4837,50.3324,267.3997,7.6664,4.9018,79.7222
2025-02-04,25.2238,2.5108,50.1743,282.1893,7.5469,5.0246,77.7778
2025-02-05,25.7941,2.4824,49.8761,279.8691,7.3974,4.9535,75.9722
2025-02-06,25.4391,2.4909,50.1531,273.9141,7.4432,5.0005,77.9861
2025-02-07,25.5753,2.4395,50.5278,275.411,7.498,5.0959,78.2639
2025-02-08,25.1627,2.5099,50.2452,278.5421,7.6228,4.9215,77.7083
2025-02-09,25.4678,2.4617,50.4162,271.5649,7.3998,5.0186,77.2222
2025-02-10,25.4739,2.5143,49.8836,272.3628,7.4092,5.0472,77.1528
2025-02-11,25.7825,2.511,49.602,272.0418,7.5466,4.9652,79.0972
2025-02-12,25.1336,2.5011,50.3628,272.0218,7.4713,5.0563,77.4306
2025-02-13,25.557,2.5052,49.8903,272.8131,7.4983,4.9252,77.8472
2025-02-14,25.7469,2.5051,49.6973,274.0787,7.4866,4.9898,76.3889
2025-02-15,25.4844,2.5234,49.7816,281.722,7.3596,4.9364,76.1111
2025-02-16,26.4996,2.5847,48.1329,277.9875,7.362,5.104,77.1528
2025-02-17,26.0174,2.5101,49.3711,276.7262,7.3591,4.9091,77.2917
2025-02-18,26.0898,2.4501,49.8976,277.8832,7.6128,4.8623,76.9444
2025-02-19,25.8118,2.5205,49.4764,274.4671,7.4807,4.9884,77.6389
2025-02-20,25.4454,2.4192,50.8642,280.0854,7.3334,4.887,76.3889
2025-02-21,25.7929,2.4989,49.7119,276.6091,7.474,4.9499,76.875
2025-02-22,25.7163,2.5222,49.5573,276.9229,7.5538,4.9003,77.9861
2025-02-23,25.9999,2.5479,49.0112,274.0226,7.649,4.8866,78.2639
2025-02-24,25.6195,2.5183,49.6953,273.7708,7.4545,5.1391,77.2917
2025-02-25,24.8439,2.6049,49.6209,275.9137,7.3815,4.9115,75.6944
2025-02-26,25.7962,2.4456,50.2422,272.5913,7.4072,5.0464,78.2639
2025-02-27,25.1869,2.4673,50.646,273.6025,7.3218,5.0794,77.1528
2025-02-28,25.514,2.4759,50.2266,283.6708,7.6566,5.0124,78.0556
2025-03-01,25.5674,2.5352,49.5787,279.3579,7.5087,4.9933,77.9861
2025-03-02,25.4306,2.5029,50.0421,275.8031,7.409,5.0366,77.2917
2025-03-03,25.4939,2.4974,50.0321,277.1986,7.6864,4.9898,79.9306
2025-03-04,25.5018,2.4538,50.4606,274.1087,7.6086,5.0444,79.6528
2025-03-05,25.1388,2.4156,51.2123,279.556,7.3333,5.0721,77.8472
2025-03-06,25.1966,2.5322,49.9872,276.8532,7.716,4.9771,79.7917
2025-03-07,26.0552,2.5641,48.7924,280.234,7.3784,4.9801,77.2222
2025-03-08,25.6269,2.4548,50.3229,276.9654,7.5575,4.9833,77.9861
2025-03-09,25.4765,2.4611,50.4129,279.3282,7.5507,5.0767,76.1806
2025-03-10,25.6643,2.4847,49.9855,270.1378,7.3932,4.8648,78.125
