Machine_ID,n,lat_mean,lat_p95,loss_mean,nsi_mean,speed_mean,err_mean,defect_mean,pct_low,pct_high
1,1916,25.3618,47.1062,2.5222,49.919,277.9811,7.6058,5.0422,76.8789,2.8706
2,2041,25.4511,47.35,2.5192,49.8575,274.5092,7.5221,5.0145,78.197,2.8417
3,2001,26.0084,47.706,2.5001,49.4804,278.8177,7.5993,5.0484,78.6607,2.7986
4,2004,25.3035,47.3906,2.4818,50.3826,273.5211,7.4737,5.0336,78.2435,2.5449
5,2043,25.7409,47.6548,2.4929,49.8248,272.6215,7.4628,4.9459,77.7778,3.6711
6,1934,26.4907,47.8945,2.499,48.9991,273.1475,7.5273,4.9791,77.1975,2.999
7,1965,25.1501,47.5846,2.5599,49.7582,274.2903,7.3681,5.04,77.5064,3.1552
8,1967,25.4258,47.4517,2.4886,50.19,276.0489,7.6152,5.0714,80.427,2.7453
9,1991,25.3108,47.313,2.4896,50.2967,272.0124,7.5103,5.1483,79.4576,2.7122
10,2022,25.9694,47.7358,2.4371,50.1505,275.7554,7.3958,4.9097,78.1405,3.1157
11,1951,25.4976,47.6685,2.4856,50.1469,275.1419,7.4566,5.0881,77.4475,3.1266
12,1955,25.7184,47.9367,2.4987,49.7901,273.7946,7.4782,5.0172,77.5448,2.6087
13,2040,25.3742,47.6843,2.4485,50.6432,273.4324,7.464,5.0001,77.3529,3.3333
14,1941,25.7699,47.825,2.4786,49.9388,271.7281,7.6029,5.1113,78.9799,2.3184
15,2027,26.1608,47.7135,2.4677,49.6488,281.411,7.4486,5.1652,76.1223,3.5027
16,2010,25.9328,47.0758,2.508,49.478,284.9234,7.5052,5.0192,76.1692,3.1841
17,2061,25.5558,47.745,2.5071,49.8719,270.8021,7.5083,5.0261,78.4571,2.8627
18,2031,25.654,47.665,2.47,50.1429,275.7287,7.454,5.055,78.8282,3.0034
19,2004,25.5027,47.565,2.5627,49.3703,276.8089,7.4953,4.9741,76.3972,3.0938
20,1970,25.1833,47.4539,2.4919,50.4041,276.5968,7.3871,5.0292,76.0914,2.7919
21,2052,25.4073,47.7306,2.4779,50.3151,274.7497,7.4691,4.96,78.0702,2.7778
22,2031,25.8184,47.3195,2.4756,49.9189,278.1245,7.6592,5.0954,77.6465,3.5943
23,2092,25.4008,47.2862,2.5587,49.5142,281.0052,7.3555,5.01,76.195,3.2983
24,1984,25.2576,47.3897,2.4986,50.2615,278.5943,7.3775,4.9868,76.2097,3.6794
25,1998,25.41,47.4502,2.5188,49.9033,273.0006,7.7106,5.018,78.1782,2.8529
26,2059,24.9326,47.109,2.5076,50.5032,279.3384,7.372,4.9375,77.1248,3.1083
27,1957,25.5205,47.6384,2.5395,49.5844,284.8471,7.5813,4.8914,76.9545,3.0148
28,2048,25.7407,47.9208,2.445,50.3046,274.195,7.5296,4.9521,78.7598,2.6855
29,2044,25.2855,47.1919,2.4811,50.4083,273.2722,7.6476,4.8992,78.18,2.6908
30,2074,25.485,47.4033,2.4507,50.5086,275.7185,7.5458,4.9537,79.2671,2.3626
31,1933,25.7993,47.321,2.4643,50.0514,282.4144,7.6244,5.0793,77.8065,3.673
32,2031,25.5043,47.664,2.4844,50.1513,277.5204,7.5936,4.9893,78.7297,2.4126
33,1956,25.3745,47.4222,2.4692,50.436,274.861,7.4397,5.0519,78.0164,2.7096
34,1948,25.8464,47.8263,2.4653,49.9934,278.8263,7.5923,5.0636,77.5154,3.0801
35,1913,25.4632,47.765,2.4604,50.4338,273.6909,7.4463,4.9828,78.4109,3.0319
36,2085,25.2186,47.5478,2.5287,50.0004,273.4211,7.421,5.065,77.6978,3.3573
37,1964,25.4047,47.5761,2.4882,50.2154,277.2299,7.433,4.8855,77.2912,2.8004
38,2058,25.4043,47.1944,2.4805,50.2927,271.3912,7.6156,5.0583,77.794,2.8669
39,1993,25.5763,48.189,2.4937,49.985,280.2225,7.566,5.0698,76.4175,2.6593
40,2001,25.5747,47.842,2.4276,50.6479,271.1237,7.6157,5.0106,78.5607,3.1984
41,2013,25.4385,47.6626,2.4794,50.2691,277.0039,7.4454,4.9382,77.0989,2.8813
42,2019,25.6712,47.7236,2.5067,49.758,275.2794,7.5762,5.0476,78.5537,2.7737
43,1906,25.6843,47.3672,2.464,50.1715,279.2901,7.5283,4.9926,78.2791,3.4103
44,2054,25.2686,47.3876,2.5152,50.0838,277.7958,7.494,4.9769,77.6047,3.0185
45,2080,25.8354,47.4763,2.4725,49.9324,276.3973,7.411,4.8403,76.9712,3.5096
46,1912,25.1787,47.5492,2.5122,50.2055,270.0138,7.3781,5.0005,78.3473,3.1904
47,2001,25.4066,47.4,2.5382,49.7133,275.2027,7.6402,5.093,80.06,2.3988
48,2058,25.6917,47.5803,2.5044,49.76,274.489,7.4292,4.9086,77.5996,3.2556
49,1950,26.3242,47.9586,2.547,48.6886,272.5225,7.4342,5.0237,78.4103,2.8718
50,1912,25.3385,47.5279,2.507,50.0944,275.3297,7.4001,4.9583,77.6674,2.8243
