mode,n,driver,outcome,r,p
Active,70054,Network_Latency_ms,Production_Speed_units_per_hr,0.00155,0.6815
Active,70054,Network_Latency_ms,Error_Rate_%,0.00162,0.669
Active,70054,Network_Latency_ms,Quality_Control_Defect_Rate_%,-0.0086,0.0228
Active,70054,Packet_Loss_%,Production_Speed_units_per_hr,-0.00717,0.0578
Active,70054,Packet_Loss_%,Error_Rate_%,-0.00248,0.5113
Active,70054,Packet_Loss_%,Quality_Control_Defect_Rate_%,-0.00769,0.0419
Idle,20057,Network_Latency_ms,Production_Speed_units_per_hr,-0.01357,0.0546
Idle,20057,Network_Latency_ms,Error_Rate_%,-0.00635,0.3685
Idle,20057,Network_Latency_ms,Quality_Control_Defect_Rate_%,0.00713,0.3128
Idle,20057,Packet_Loss_%,Production_Speed_units_per_hr,-0.01144,0.1052
Idle,20057,Packet_Loss_%,Error_Rate_%,0.00042,0.9525
Idle,20057,Packet_Loss_%,Quality_Control_Defect_Rate_%,0.002,0.7768
Maintenance,9889,Network_Latency_ms,Production_Speed_units_per_hr,0.00626,0.5335
Maintenance,9889,Network_Latency_ms,Error_Rate_%,0.00244,0.8081
Maintenance,9889,Network_Latency_ms,Quality_Control_Defect_Rate_%,0.00249,0.8047
Maintenance,9889,Packet_Loss_%,Production_Speed_units_per_hr,0.00224,0.824
Maintenance,9889,Packet_Loss_%,Error_Rate_%,-0.00757,0.4514
Maintenance,9889,Packet_Loss_%,Quality_Control_Defect_Rate_%,0.00094,0.9254
